Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
NWGL,Nature Wood Group Limited American Depositary Shares,$1.46,0.08,5.797%,24167621.00,China,2023,1008,Energy,
OBE,Obsidian Energy Ltd. Common Shares,$5.78,0.00,0.00%,439311270.00,Canada,2022,441564,Energy,Oil & Gas Production
OII,Oceaneering International Inc. Common Stock,$22.85,0.37,1.646%,2318851064.00,United States,,657438,Energy,Oilfield Services/Equipment
OVV,Ovintiv Inc. (DE),$38.77,0.05,0.129%,10239157000.00,Canada,,4232443,Energy,Oil & Gas Production
OXY,Occidental Petroleum Corporation Common Stock,$50.99,0.33,0.651%,46177345563.00,United States,,11891644,Energy,Oil & Gas Production
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,$17.41,0.15,0.869%,12205825416.00,United States,1998,988659,Energy,Natural Gas Distribution
PAGP,Plains GP Holdings L.P. Class A Units representing Limited Partner Interests,$18.43,0.06,0.327%,3635569936.00,United States,,1315727,Energy,Natural Gas Distribution
PARR,Par Pacific Holdings Inc.  Common Stock,$18.35,0.08,0.438%,1033671428.00,United States,,1135549,Energy,Oil & Gas Production
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),$40.80,0.48,1.19%,23672731200.00,Canada,,889096,Energy,Oil & Gas Production
PBF,PBF Energy Inc. Class A Common Stock,$31.50,0.35,1.124%,3690209943.00,United States,2012,1956286,Energy,Integrated oil Companies
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$14.44,-0.12,-0.824%,93427791032.00,Brazil,,17532150,Energy,Oil & Gas Production
PBT,Permian Basin Royalty Trust Common Stock,$11.24,0.22,1.996%,523882867.00,United States,,79319,Energy,Oil & Gas Production
PDS,Precision Drilling Corporation Common Stock,$63.40,0.94,1.505%,902660226.00,Canada,,32487,Energy,Oil & Gas Production
PED,Pedevco Corp. Common Stock,$0.906,0.0296,3.377%,80892452.00,United States,,44810,Energy,Oil & Gas Production
PHX,PHX Minerals Inc. Common Stock,$3.35,-0.01,-0.298%,125618226.00,United States,2003,37733,Energy,Oil & Gas Production
PLUG,Plug Power Inc. Common Stock,$1.94,0.00,0.00%,1706493889.00,United States,1999,30143343,Energy,Industrial Machinery/Components
PNRG,PrimeEnergy Resources Corporation Common Stock,$134.04,7.04,5.543%,234807385.00,United States,,6080,Energy,Oil & Gas Production
POWL,Powell Industries Inc. Common Stock,$167.04,4.52,2.781%,2002448460.00,United States,,260754,Energy,Electrical Products
PR,Permian Resources Corporation Class A Common Stock,$13.16,0.12,0.92%,10561385446.00,United States,2022,13931013,Energy,Oil & Gas Production
PRT,PermRock Royalty Trust Trust Units,$4.0002,0.1202,3.098%,48665361.00,United States,2018,36871,Energy,Oil & Gas Production
PRTG,Portage Biotech Inc. Common Stock,$3.52,0.14,4.142%,3691121.00,Canada,,34150,Energy,Oil & Gas Production
PSX,Phillips 66 Common Stock,$125.72,0.72,0.576%,52622517687.00,United States,,3040948,Energy,Integrated oil Companies
PTEN,Patterson-UTI Energy Inc. Common Stock,$7.91,0.08,1.022%,3109023958.00,United States,1993,5364861,Energy,Oil & Gas Production
PUMP,ProPetro Holding Corp. Common Stock,$7.20,0.14,1.983%,749967674.00,United States,2017,1042286,Energy,Oilfield Services/Equipment
PVL,Permianville Royalty Trust Trust Units ,$1.58,0.02,1.282%,52140000.00,United States,2011,33995,Energy,Oil & Gas Production
RCON,Recon Technology Ltd. Class A Ordinary Shares,$2.75,0.285,11.562%,41189379.00,China,2009,19230,Energy,Oilfield Services/Equipment
REI,Ring Energy Inc. Common Stock,$1.68,0.03,1.818%,332929585.00,United States,,1307306,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$25.45,0.01,0.039%,549090774.00,United States,1999,60494,Energy,Oil & Gas Production
RES,RPC Inc. Common Stock,$5.73,-0.02,-0.348%,1232001364.00,United States,,1624344,Energy,Oilfield Services/Equipment
RIG,Transocean Ltd (Switzerland) Common Stock,$4.15,0.09,2.217%,3633201326.00,Switzerland,,21101886,Energy,Oil & Gas Production
RNGR,Ranger Energy Services Inc. Class A Common Stock,$11.58,0.01,0.086%,257337662.00,United States,2017,30369,Energy,Oilfield Services/Equipment
RRC,Range Resources Corporation Common Stock,$28.99,-0.14,-0.481%,7018165270.00,United States,,1636920,Energy,Oil & Gas Production
SBR,Sabine Royalty Trust Common Stock,$60.55,0.52,0.866%,882779340.00,United States,,21788,Energy,Oil & Gas Production
SD,SandRidge Energy Inc. Common Stock,$11.78,-0.05,-0.423%,437999601.00,United States,2016,316040,Energy,Oil & Gas Production
SDRL,Seadrill Limited Common Shares,$38.58,1.38,3.71%,2555153400.00,,2022,2209244,Energy,Oil & Gas Production
SHEL,Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ,$66.98,0.77,1.163%,209698244250.00,Netherlands,2022,5195908,Energy,Oil & Gas Production
SJT,San Juan Basin Royalty Trust Common Stock,$3.36,0.08,2.439%,156605555.00,United States,,101478,Energy,Oil & Gas Production
SLB,Schlumberger N.V. Common Stock,$39.80,0.23,0.581%,56509680914.00,France,,15404438,Energy,Oilfield Services/Equipment
SM,SM Energy Company Common Stock,$38.78,-0.30,-0.768%,4437146056.00,United States,,1470451,Energy,Oil & Gas Production
SOC,Sable Offshore Corp. Common Stock,$21.16,0.51,2.47%,1372129426.00,,2021,795330,Energy,Oil & Gas Production
SSL,Sasol Ltd. American Depositary Shares,$6.67,0.04,0.603%,4283098859.00,South Africa,,844227,Energy,Oil & Gas Production
STR,Sitio Royalties Corp. Class A Common Stock,$21.16,0.16,0.762%,3264066905.00,United States,2022,387787,Energy,Oil & Gas Production
SU,Suncor Energy  Inc. Common Stock,$36.29,0.23,0.638%,46089483199.00,Canada,,3705183,Energy,Integrated oil Companies
SUN,Sunoco LP Common Units representing limited partner interests,$53.31,1.23,2.362%,8124910036.00,United States,2012,191388,Energy,Integrated oil Companies
SWN,Southwestern Energy Company Common Stock,$6.18,-0.02,-0.323%,6816426943.00,United States,,15655838,Energy,Oil & Gas Production
TALO,Talos Energy Inc. Common Stock,$10.96,0.12,1.107%,1974486262.00,United States,2018,1830969,Energy,Oil & Gas Production
TBN,Tamboran Resources Corporation Common stock,$19.29,0.19,0.995%,274458583.00,,2024,12206,Energy,Oil & Gas Production
TELL,Tellurian Inc. Common Stock,$0.9188,-0.0072,-0.778%,821186262.00,United States,,36371844,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$23.31,-0.375,-1.583%,20833534784.00,United States,,6536,Energy,Oil & Gas Production
THR,Thermon Group Holdings Inc. Common Stock,$28.13,0.34,1.223%,950861062.00,United States,2011,68209,Energy,Industrial Machinery/Components
