Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A030610,교보증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,증권 및 선물 중개업,증권 중개업
A000670,영풍,제조업,1차 금속 제조업,1차 비철금속 제조업,"비철금속 제련, 정련 및 합금 제조업","연 및 아연 제련, 정련 및 합금 제조업"
A046890,서울반도체,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업"
A101360,에코앤드림,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A189300,인텔리안테크,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,기타 무선 통신장비 제조업
A003470,유안타증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,증권 및 선물 중개업,증권 중개업
A008730,율촌화학,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,포장용 플라스틱제품 제조업,"플라스틱 포대, 봉투 및 유사제품 제조업"
A003280,흥아해운,운수 및 창고업,수상 운송업,해상 운송업,외항 운송업,외항 화물 운송업
A057050,현대홈쇼핑,도매 및 소매업,소매업; 자동차 제외,무점포 소매업,통신 판매업,기타 통신 판매업
A060370,LS마린솔루션,건설업,전문직별 공사업,전기 및 통신 공사업,통신 공사업,일반 통신 공사업
A014830,유니드,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 무기 화학물질 제조업,기타 기초 무기 화학물질 제조업
A340570,티앤엘,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,체외 진단 시약 제조업
A053800,안랩,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
A131290,티에스이,제조업,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업","전자기 측정, 시험 및 분석기구 제조업"
A215200,메가스터디교육,교육 서비스업,교육 서비스업,일반 교습 학원,일반 교습 학원,온라인 교육 학원
A290690,소룩스,제조업,전기장비 제조업,전구 및 조명장치 제조업,조명장치 제조업,일반용 전기 조명장치 제조업
A336570,원텍,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,의료용 기기 제조업,의료용 기기 제조업
A420770,기가비스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업
A335890,비올,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,의료용 기기 제조업,의료용 기기 제조업
A383800,LX홀딩스,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A399720,가온칩스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,비메모리용 및 기타 전자집적회로 제조업
A348210,넥스틴,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A007700,F&F홀딩스,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A091810,티웨이항공,운수 및 창고업,항공 운송업,항공 여객 운송업,항공 여객 운송업,항공 여객 운송업
A002030,아세아,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,경영 컨설팅 및 공공 관계 서비스업,경영 컨설팅업
A145990,삼양사,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A144510,지씨셀,"전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 분류 안된 전문, 과학 및 기술 서비스업"
A418550,제이오,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업"
A058970,엠로,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A195870,해성디에스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,전자부품 제조업,전자부품 제조업
A194480,데브시스터즈,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,모바일 게임 소프트웨어 개발 및 공급업
A272450,진에어,운수 및 창고업,항공 운송업,항공 여객 운송업,항공 여객 운송업,항공 여객 운송업
A017940,E1,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,"연료, 연료용 광물 및 관련제품 도매업",기체연료 및 관련제품 도매업
A080220,제주반도체,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,전자집적회로 제조업
A091120,이엠텍,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,전자부품 제조업,전자부품 제조업
A376300,디어유,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A077970,STX엔진,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,내연기관 및 터빈 제조업; 항공기용 및 차량용 제외,내연기관 제조업
A058610,에스피지,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환장치 제조업",전동기 및 발전기 제조업
A161000,애경케미칼,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 화학물질 제조업,기초 화학물질 제조업
A241590,화승엔터프라이즈,제조업,"가죽, 가방 및 신발 제조업",신발 및 신발 부분품 제조업,신발 제조업,기타 신발 제조업
A002240,고려제강,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업","제철, 제강 및 합금철 제조업"
A031430,신세계인터내셔날,도매 및 소매업,소매업; 자동차 제외,"섬유, 의복, 신발 및 가죽제품 소매업",의복 소매업,가죽 및 모피의복 소매업
A251970,펌텍코리아,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,포장용 플라스틱제품 제조업,포장용 플라스틱 성형용기 제조업
A460930,현대힘스,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 수상 부유 구조물 건조업,선박 구성 부분품 제조업
A079370,제우스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A017810,풀무원,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A016800,퍼시스,제조업,가구 제조업,가구 제조업,목재가구 제조업,기타 목재가구 제조업
A018250,애경산업,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,"세제, 화장품 및 광택제 제조업","치약, 비누 및 기타 세제 제조업"
A078340,컴투스,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업
A071320,지역난방공사,"전기, 가스, 증기 및 공기조절 공급업","전기, 가스, 증기 및 공기조절 공급업","증기, 냉ㆍ온수 및 공기조절 공급업","증기, 냉ㆍ온수 및 공기조절 공급업","증기, 냉ㆍ온수 및 공기조절 공급업"
A323280,태성,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업
A099190,아이센스,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,방사선 장치 및 전기식 진단 기기 제조업,전기식 진단 및 요법 기기 제조업
A003160,디아이,제조업,"의료, 정밀, 광학기기 및 시계 제조업","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업","전자기 측정, 시험 및 분석기구 제조업"
A017860,DS단석,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A284740,쿠쿠홈시스,"사업시설 관리, 사업 지원 및 임대 서비스업",임대업; 부동산 제외,개인 및 가정용품 임대업,개인 및 가정용품 임대업,개인 및 가정용품 임대업
A358570,지아이이노베이션,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A249420,일동제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A200130,콜마비앤에이치,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A253590,네오셈,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업
A206640,바디텍메드,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업
A025980,아난티,숙박 및 음식점업,숙박업,일반 및 생활 숙박시설 운영업,일반 및 생활 숙박시설 운영업,일반 및 생활 숙박시설 운영업
A030520,한글과컴퓨터,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A003520,영진약품,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A001200,유진투자증권,금융 및 보험업,금융 및 보험 관련 서비스업,금융 지원 서비스업,증권 및 선물 중개업,증권 중개업
A033240,자화전자,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,전자저항기 및 전자카드 제조업
A130660,한전산업,"전문, 과학 및 기술 서비스업","건축기술, 엔지니어링 및 기타 과학기술 서비스업","건축기술, 엔지니어링 및 관련 기술 서비스업",엔지니어링 서비스업,기타 엔지니어링 서비스업
A338220,뷰노,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A005610,SPC삼립,제조업,식료품 제조업,기타 식품 제조업,기타 식품 제조업,기타 식품 제조업
A256840,한국비엔씨,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A215000,골프존,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,기타 게임 소프트웨어 개발 및 공급업
A095660,네오위즈,정보통신업,출판업,소프트웨어 개발 및 공급업,게임 소프트웨어 개발 및 공급업,유선 온라인 게임 소프트웨어 개발 및 공급업
A082920,비츠로셀,제조업,전기장비 제조업,일차전지 및 이차전지 제조업,일차전지 및 이차전지 제조업,일차전지 제조업
A334970,프레스티지바이오로직스,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,의약품 제조업,의약품 제조업
A032500,케이엠더블유,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,방송 및 무선 통신장비 제조업
A314930,바이오다인,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,기타 의료용 기기 제조업,기타 의료용 기기 제조업
A091700,파트론,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,그 외 기타 전자부품 제조업
A099320,쎄트렉아이,제조업,기타 운송장비 제조업,"항공기, 우주선 및 부품 제조업","항공기, 우주선 및 보조장치 제조업","항공기, 우주선 및 보조장치 제조업"
A215600,신라젠,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A039440,에스티아이,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A179900,유티아이,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,기타 전자부품 제조업
A126560,현대퓨처넷,정보통신업,우편 및 통신업,전기 통신업,기타 전기 통신업,그 외 기타 전기 통신업
A114840,아이패밀리에스씨,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A220100,퓨쳐켐,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,의약품 제조업,의약품 제조업
A228760,지노믹트리,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업,자연과학 및 공학 연구개발업
A397030,에이프릴바이오,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A372320,큐로셀,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A007460,에이프로젠,제조업,금속가공제품 제조업; 기계 및 가구 제외,기타 금속 가공제품 제조업,기타 금속 가공제품 제조업,기타 금속 가공제품 제조업
A183190,아세아시멘트,제조업,비금속 광물제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 석회 및 플라스터 제조업",시멘트 제조업
A014620,성광벤드,제조업,1차 금속 제조업,1차 철강 제조업,철강관 제조업,강관 가공품 및 관 연결구류 제조업
A290650,엘앤씨바이오,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,의약품 제조업,의약품 제조업
A002960,한국쉘석유,제조업,"코크스, 연탄 및 석유정제품 제조업",석유 정제품 제조업,석유 정제물 재처리업,윤활유 및 그리스 제조업
A075580,세진중공업,제조업,기타 운송장비 제조업,선박 및 보트 건조업,선박 및 수상 부유 구조물 건조업,선박 구성 부분품 제조업
A460860,동국제강,제조업,1차 금속 제조업,1차 철강 제조업,1차 철강 제조업,1차 철강 제조업
A001820,삼화콘덴서,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,전자축전기 제조업
A005690,파미셀,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A084850,아이티엠반도체,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,기타 전자부품 제조업
A900140,엘브이엠씨홀딩스,도매 및 소매업,자동차 및 부품 판매업,자동차 판매업,자동차 판매업,자동차 판매업
A206650,유바이오로직스,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,의약품 제조업,의약품 제조업
A101160,월덱스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,전자부품 제조업,전자부품 제조업
A453340,현대그린푸드,도매 및 소매업,소매업; 자동차 제외,종합 소매업,종합 소매업,종합 소매업
A032190,다우데이타,도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,"컴퓨터 및 주변장치, 소프트웨어 도매업","컴퓨터 및 주변장치, 소프트웨어 도매업"
A003300,한일홀딩스,제조업,비금속 광물제품 제조업,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 석회 및 플라스터 제조업",시멘트 제조업
A107640,한중엔시에스,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
A006730,서부T&D,숙박 및 음식점업,숙박업,일반 및 생활 숙박시설 운영업,일반 및 생활 숙박시설 운영업,일반 및 생활 숙박시설 운영업
A200880,서연이화,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차 차체용 신품 부품 제조업,자동차 차체용 신품 부품 제조업
A093050,LF,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,남자용 겉옷 제조업
A200670,휴메딕스,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A058650,세아홀딩스,제조업,1차 금속 제조업,1차 철강 제조업,1차 철강 제조업,1차 철강 제조업
A372170,윤성에프앤씨,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업
A082270,젬백스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A161580,필옵틱스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업
A034310,NICE,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,경영 컨설팅 및 공공 관계 서비스업,경영 컨설팅업
A252990,샘씨엔에스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,기타 전자부품 제조업,기타 전자부품 제조업
A001340,백광산업,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,"무기안료, 염료, 유연제 및 기타 착색제 제조업",무기안료용 금속 산화물 및 관련 제품 제조업
A049070,인탑스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",통신 및 방송 장비 제조업,방송 및 무선 통신장비 제조업,방송 및 무선 통신장비 제조업
A439090,마녀공장,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A068240,다원시스,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환장치 제조업",기타 전기 변환장치 제조업
A034950,한국기업평가,"사업시설 관리, 사업 지원 및 임대 서비스업",사업지원 서비스업,기타 사업지원 서비스업,그 외 기타 사업지원 서비스업,신용 조사 및 추심 대행업
A102710,이엔에프테크놀로지,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,그 외 기타 화학제품 제조업,그 외 기타 분류 안된 화학제품 제조업
A005090,SGC에너지,"전기, 가스, 증기 및 공기조절 공급업","전기, 가스, 증기 및 공기조절 공급업",전기업,전기업,전기업
A033500,동성화인텍,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 화학물질 제조업,기초 화학물질 제조업
A286940,롯데이노베이트,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터시스템 통합 자문, 구축 및 관리업",컴퓨터시스템 통합 자문 및 구축 서비스업
A171090,선익시스템,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업,특수 목적용 기계 제조업
A029530,신도리코,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",컴퓨터 및 주변장치 제조업,컴퓨터 및 주변장치 제조업,컴퓨터 및 주변장치 제조업
A108860,셀바스AI,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업
A095610,테스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A160190,하이젠알앤엠,제조업,전기장비 제조업,"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업","전동기, 발전기 및 전기 변환장치 제조업",전동기 및 발전기 제조업
A020000,한섬,제조업,"의복, 의복 액세서리 및 모피제품 제조업",봉제의복 제조업,겉옷 제조업,여자용 겉옷 제조업
A026890,스틱인베스트먼트,금융 및 보험업,금융업,신탁업 및 집합투자업,신탁업 및 집합투자업,신탁업 및 집합투자업
A033270,유나이티드제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A115390,락앤락,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,기타 플라스틱제품 제조업,그 외 기타 플라스틱 제품 제조업
A023160,태광,제조업,1차 금속 제조업,1차 철강 제조업,철강관 제조업,강관 제조업
A005810,풍산홀딩스,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A059090,미코,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,반도체 제조업,반도체 제조업
A304360,에스바이오메딕스,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,의약품 제조업,의약품 제조업
A094170,동운아나텍,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,전자집적회로 제조업,전자집적회로 제조업
A003000,부광약품,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A108670,LX하우시스,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,건축용 플라스틱제품 제조업,건축용 플라스틱제품 제조업
A455900,엔젤로보틱스,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,산업용 로봇 제조업,산업용 로봇 제조업
A123890,한국자산신탁,금융 및 보험업,금융업,신탁업 및 집합투자업,신탁업 및 집합투자업,신탁업 및 집합투자업
A104830,원익머트리얼즈,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기초 화학물질 제조업,기초 무기 화학물질 제조업,"산소, 질소 및 기타 산업용 가스 제조업"
A297890,HB솔루션,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업
A004690,삼천리,"전기, 가스, 증기 및 공기조절 공급업","전기, 가스, 증기 및 공기조절 공급업",연료용 가스 제조 및 배관공급업,연료용 가스 제조 및 배관공급업,연료용 가스 제조 및 배관공급업
A043150,바텍,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,의료용 기기 제조업,의료용 기기 제조업
A089010,켐트로닉스,제조업,화학물질 및 화학제품 제조업; 의약품 제외,기타 화학제품 제조업,기타 화학제품 제조업,기타 화학제품 제조업
A003220,대원제약,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A004700,조광피혁,제조업,"가죽, 가방 및 신발 제조업","가죽, 가방 및 유사제품 제조업",모피 및 가죽 제조업,모피 및 가죽 제조업
A097520,엠씨넥스,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",영상 및 음향기기 제조업,"텔레비전, 비디오 및 기타 영상기기 제조업",비디오 및 기타 영상기기 제조업
A036530,SNT홀딩스,"전문, 과학 및 기술 서비스업",전문 서비스업,회사 본부 및 경영 컨설팅 서비스업,회사 본부,제조업 회사 본부
A099430,바이오플러스,제조업,의료용 물질 및 의약품 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업,기초 의약 물질 제조업
A323990,박셀바이오,"전문, 과학 및 기술 서비스업",연구개발업,자연과학 및 공학 연구개발업,자연과학 연구개발업,의학 및 약학 연구개발업
A002310,아세아제지,제조업,"펄프, 종이 및 종이제품 제조업","골판지, 종이 상자 및 종이 용기 제조업","골판지, 종이 상자 및 종이 용기 제조업","골판지, 종이 상자 및 종이 용기 제조업"
A060280,큐렉소,도매 및 소매업,소매업; 자동차 제외,기타 상품 전문 소매업,"의약품, 의료용 기구, 화장품 및 방향제 소매업",의료용 기구 소매업
A011930,신성이엔지,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업"
A029960,코엔텍,"전기, 가스, 증기 및 공기조절 공급업","전기, 가스, 증기 및 공기조절 공급업","증기, 냉ㆍ온수 및 공기조절 공급업","증기, 냉ㆍ온수 및 공기조절 공급업","증기, 냉ㆍ온수 및 공기조절 공급업"
A003920,남양유업,제조업,식료품 제조업,동·식물성 유지 및 낙농제품 제조업,동·식물성 유지 및 낙농제품 제조업,동·식물성 유지 및 낙농제품 제조업
A138580,비즈니스온,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,응용 소프트웨어 개발 및 공급업
A093230,이아이디,도매 및 소매업,도매 및 상품 중개업,기타 전문 도매업,기타 전문 도매업,기타 전문 도매업
A243070,휴온스,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A095500,미래나노텍,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,기타 플라스틱제품 제조업,플라스틱 접착처리 제품 제조업
A166480,코아스템켐온,제조업,의료용 물질 및 의약품 제조업,의약품 제조업,완제 의약품 제조업,생물 의약품 제조업
A104700,한국철강,제조업,1차 금속 제조업,1차 철강 제조업,"제철, 제강 및 합금철 제조업","제철, 제강 및 합금철 제조업"
A110990,디아이티,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,디스플레이 제조용 기계 제조업
A089980,상아프론테크,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,플라스틱제품 제조업,플라스틱제품 제조업
A038500,삼표시멘트,제조업,비금속 광물제품 제조업,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업,기타 비금속 광물제품 제조업
A122640,예스티,제조업,기타 기계 및 장비 제조업,특수 목적용 기계 제조업,반도체 및 디스플레이 제조용 기계 제조업,반도체 제조용 기계 제조업
A230360,에코마케팅,"전문, 과학 및 기술 서비스업",전문 서비스업,광고업,광고 대행업,광고 대행업
A013030,하이록코리아,제조업,1차 금속 제조업,1차 철강 제조업,1차 철강 제조업,1차 철강 제조업
A394280,오픈엣지테크놀로지,정보통신업,출판업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급업
A319400,현대무벡스,제조업,기타 기계 및 장비 제조업,일반 목적용 기계 제조업,일반 목적용 기계 제조업,일반 목적용 기계 제조업
A007160,사조산업,"농업, 임업 및 어업",어업,어로 어업,해수면 어업,원양 어업
A950130,엑세스바이오,제조업,의료용 물질 및 의약품 제조업,의료용품 및 기타 의약 관련제품 제조업,의료용품 및 기타 의약 관련제품 제조업,체외 진단 시약 제조업
A322000,HD현대에너지솔루션,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,"다이오드, 트랜지스터 및 유사 반도체소자 제조업","다이오드, 트랜지스터 및 유사 반도체소자 제조업"
A031330,에스에이엠티,도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,기타 기계 및 장비 도매업,수송용 운송장비 도매업
A306200,세아제강,제조업,1차 금속 제조업,1차 철강 제조업,철강관 제조업,철강관 제조업
A094360,칩스앤미디어,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",반도체 제조업,반도체 제조업,반도체 제조업
A445680,큐리옥스바이오시스템즈,제조업,"의료, 정밀, 광학기기 및 시계 제조업",의료용 기기 제조업,의료용 기기 제조업,의료용 기기 제조업
