Ticker,Stockholders Equity
GPCR,452966000.0
GRAL,0.0
GRFS,5827166000.0
GRI,259000.0
GRTS,51850000.0
GTBP,7476000.0
GTHX,35386000.0
GYRE,-15828000.0
HALO,83808000.0
HCM,730541000.0
HCSG,456616000.0
HCWB,13461717.0
HEPA,7280807.0
HLVX,265525000.0
HOLX,5016900000.0
HOOK,89857000.0
HOTH,8815295.0
HOWL,111374000.0
HPCO,-367812.0
HRMY,466992000.0
HROW,70766000.0
HROWL,
HROWM,
HRTX,-33973000.0
HSCS,7317301.0
HSDT,2350000.0
HSIC,3655000000.0
HUMA,13546000.0
HUMAW,13546000.0
HWH,18099468.0
HYPR,84399000.0
IART,1587884000.0
IBRX,-586987000.0
ICAD,33417000.0
ICCC,
ICCM,12163000.0
ICLR,9240743000.0
ICU,-13870000.0
ICUCW,-13870000.0
ICUI,2123410000.0
IDXX,1484530000.0
IDYA,621090000.0
IFRX,102581731.0
IGMS,203234000.0
IINN,5738000.0
IINNW,5738000.0
IKNA,169757000.0
IKT,10977922.0
ILMN,5745000000.0
IMAB,1718156000.0
IMCC,14469000.0
IMCR,368843000.0
IMMP,136469389.0
IMMX,16405114.0
IMNM,119882000.0
IMNN,13387642.0
IMRN,19616836.0
IMRX,90576183.0
IMTX,225084000.0
IMTXW,225084000.0
IMUX,28931000.0
IMVT,617757000.0
INAB,24937000.0
INBS,3798984.0
INBX,-7973000.0
INCR,455112000.0
INCY,5189837000.0
INDP,12076498.0
INDV,0.0
INGN,204812000.0
INKT,-18055449.0
INM,12089727.0
INMB,38139000.0
INMD,787372000.0
INNV,296299000.0
INO,117349129.0
INSM,-331923000.0
INTS,13162000.0
INVA,674955000.0
INVO,892825.0
INZY,140479000.0
IOBT,133162000.0
IONS,386686000.0
IOVA,584613000.0
IPA,33921000.0
IPHA,51901000.0
IPSC,184750000.0
IRIX,9522000.0
IRMD,71420164.0
IRON,345121000.0
IRTC,210097000.0
IRWD,-346295000.0
ISPC,9741077.0
ISPR,31374933.0
ISRG,13307600000.0
ITCI,591424000.0
ITOS,575228000.0
ITRM,-6403000.0
IVA,-32031000.0
IVVD,177468000.0
IXHL,55687559.65659
JAGX,
JANX,344349000.0
JAZZ,3736997000.0
JSPR,78440000.0
JSPRW,78440000.0
KA,2890000.0
KALA,7504000.0
KALV,206582000.0
KDLY,-108412.0
KDLYW,-108412.0
KIDS,377025000.0
KMDA,244021000.0
KNSA,438839000.0
KOD,265781000.0
KPRX,6109654.0
KPTI,-136206000.0
KRMD,20353771.0
KRON,159078000.0
KROS,332213000.0
KRRO,169911000.0
KRYS,778641000.0
KTRA,731000.0
KTTA,23398452.0
KURA,397273000.0
KYMR,394971000.0
KYTX,-131397000.0
KZIA,12050000.0
KZR,187570000.0
LAKE,123450000.0
LBPH,40923000.0
LEGN,1251371000.0
LENZ,-24169000.0
LEXX,3044118.0
LEXXW,3044118.0
LFCR,-4230000.0
LFMD,3505372.0
LFMDP,3505372.0
LFST,1428930000.0
LFVN,34649000.0
LFWD,46510000.0
LGMK,14912516.0
LGND,700913000.0
LGVN,6741000.0
LIPO,3144448.0
LIVN,1277628000.0
LIXT,3994762.0
LIXTW,3994762.0
LMAT,297900000.0
LNSR,33429000.0
LNTH,815892000.0
LPCN,20369443.0
LPTX,60141000.0
LQDA,47293000.0
LRMR,81720000.0
LSB,585206302.0
LSBPW,585206302.0
LSTA,48148000.0
LTRN,40907934.0
LUCD,-2311000.0
LUCY,5558826.0
LUCYW,5558826.0
LUMO,27305000.0
LUNA,93402000.0
LUNG,118315000.0
LVTX,51178000.0
LXEO,113535000.0
LXRX,93110000.0
LYEL,654952000.0
LYRA,89420000.0
MASI,1364800000.0
MBIO,123000.0
MBOT,4501000.0
MBRX,26073000.0
MCRB,-44856000.0
MDAI,-1709000.0
MDAIW,-1709000.0
MDGL,405333000.0
MDWD,31595000.0
MDXG,142717000.0
MDXH,7208000.0
ME,188520000.0
MEDP,558950000.0
MEDS,542353.0
MEIP,24624000.0
MESO,501838000.0
MGNX,152613000.0
MGRM,13397066.0
MGRX,774754.0
MGTX,138177000.0
MGX,-135584000.0
MHUA,146331840.0
MIRA,-596232.0
MIRM,248670000.0
MIST,16771000.0
MLTX,495675683.0
MLYS,241154000.0
MMSI,1202000000.0
MNKD,-246168000.0
MNMD,78134000.0
MNOV,62378424.0
MNPR,5587766.0
MODD,11535000.0
MOLN,176429000.0
MOVE,3449000.0
MREO,50537000.0
MRKR,14052543.0
MRNA,13854000000.0
MRNS,16765000.0
MRSN,36904000.0
MRUS,356343000.0
MRVI,416753000.0
MTEM,4212000.0
MTEX,10484000.0
MURA,263817000.0
MXCT,232167000.0
MYGN,783200000.0
MYNZ,3249226.0
NAII,88772000.0
NAMS,288393000.0
NAMSW,288393000.0
NAOV,3988000.0
NARI,464910000.0
NATR,154058000.0
NBIX,2232000000.0
NBTX,-1844000.0
NCNA,14887000.0
NDRA,5658989.0
NEO,941537000.0
NEOG,3144142000.0
NEPH,8358000.0
NERV,-28457490.0
NGNE,186024000.0
NIVF,896076.0
NIVFW,896076.0
NKGN,-58693000.0
NKGNW,-58693000.0
NKTR,130987000.0
NKTX,273285000.0
NLSP,-8833563.0
NLSPW,-8833563.0
NMRA,469076000.0
NMTC,6249404.0
NNOX,195514000.0
NOTV,269154000.0
NPCE,20654000.0
NRBO,16685000.0
NRC,48955000.0
NRIX,200493000.0
NRSN,-1874000.0
NRSNW,-1874000.0
NRXP,-11733000.0
NRXPW,-11733000.0
NSPR,39501000.0
NTBL,15114000.0
NTLA,1050169000.0
NTRA,765327000.0
NTRB,6438235.0
NURO,20091317.0
NUVL,700561000.0
NUVO,-67490000.0
NUVOW,-67490000.0
NUWE,3211000.0
NVAC,5792898.0
NVACR,
NVACW,5792898.0
NVAX,-716927000.0
NVCR,362496000.0
NVCT,12201000.0
NVNO,46200000.0
NXGL,4697000.0
NXGLW,4697000.0
NXL,3206635.0
NXLIW,3206635.0
NXTC,114421000.0
NYXH,98022000.0
OABI,314585000.0
OBIO,68043000.0
OCEA,104297469.0
OCEAW,104297469.0
OCGN,40564000.0
OCS,93728000.0
OCSAW,93728000.0
OCUL,91131000.0
OCUP,49906000.0
OCX,20468000.0
OFIX,598730000.0
OGI,508058000.0
OKYO,-5879582.0
OLMA,253895000.0
OM,122886000.0
OMER,
OMGA,58016000.0
ONCO,-5602028.0
ONCT,30052000.0
ONCY,27563000.0
ONMD,-12859606.0
ONMDW,-12859606.0
ONVO,3601000.0
OPCH,1421672000.0
OPK,1389219000.0
OPT,-5853178.0
OPTN,-86606000.0
ORGO,278663000.0
ORGS,-20983000.0
ORIC,224088000.0
ORMP,163821000.0
OSUR,430671000.0
OTLK,-14437777.0
OTRK,14271000.0
OVID,87796887.0
PAHC,282509000.0
PALI,11313000.0
PASG,111283000.0
PAVM,-53831000.0
PAVS,5580626.0
PBM,-10972540.0
PBMWW,-10972540.0
PBYI,53442000.0
PCRX,870130000.0
PCSA,4989159.0
PCVX,1240468000.0
PDCO,1001144000.0
PDEX,31590000.0
PDSB,26130947.0
PEPG,108421000.0
PETQ,221213000.0
PGEN,118498000.0
PGNY,553429000.0
PHAR,218781000.0
PHAT,-72759000.0
PHIO,7730000.0
PHVS,384048403.0
PIII,142130000.0
PIRS,
PLRX,473576000.0
PLSE,44360000.0
PLUR,13355000.0
PMCB,39514619.0
PMD,6672000.0
PMN,
PMVP,225689000.0
PNTG,140339000.0
POAI,8271780.0
POCI,12046592.0
PODD,732700000.0
PPBT,34207000.0
PRAX,69669000.0
PRCT,280752000.0
PRFX,7239000.0
PRLD,237090000.0
PRME,133071000.0
PROC,-941000.0
PROCW,-941000.0
PROF,31180000.0
PROK,-1103396000.0
PRPH,49383000.0
PRQR,41390000.0
PRTA,561365000.0
PRTC,464066000.0
PRVA,561437000.0
PSNL,129441000.0
PSTV,-1348000.0
PSTX,103701000.0
PTCT,-818555000.0
PTGX,336677000.0
PTIX,3668117.0
PTPI,12480023.0
PULM,17995000.0
PXDT,1425497000.0
PYPD,-2096000.0
PYXS,125704000.0
QDEL,5005900000.0
QIPT,111115000.0
QLGN,-2103557.0
QNCX,85084000.0
QNRX,5664016.0
QNTM,13236763.0
QTI,10708068.0
QTTB,-130712000.0
QURE,207670000.0
RANI,12866000.0
RAPP,-25634000.0
RAPT,147035000.0
RARE,275414000.0
RCEL,49056000.0
RCKT,492574000.0
RDHL,2069000.0
RDNT,630695000.0
REGN,25973100000.0
RENB,46502111.0
REPL,374508000.0
REVB,6647715.0
REVBW,6647715.0
RGC,12030333.0
RGEN,1971203000.0
RGLS,21187000.0
RGNX,311742000.0
RIGL,-28644000.0
RLAY,752003000.0
RLMD,85357242.0
RLYB,106184000.0
RMTI,21291000.0
RNA,500764000.0
RNAC,-440184000.0
RNAZ,1640814.0
RNLX,6967000.0
RNXT,-3000000.0
ROIV,5968581000.0
RPHM,88610000.0
RPRX,6526497000.0
RPTX,212082000.0
RSLS,6663000.0
RVMD,1826194000.0
RVNC,-151604000.0
RVPH,5718716.0
RVPHW,5718716.0
RXRX,463436000.0
RXST,160362000.0
RYTM,169759000.0
RZLT,116172000.0
SABS,57299441.0
SABSW,57299441.0
SAGE,799530000.0
SANA,287506000.0
SAVA,137468000.0
SBFM,21207361.0
SBFMW,21207361.0
SCLX,-172938000.0
SCLXW,-172938000.0
SCNI,-4569000.0
SCPH,37218000.0
SCYX,72962000.0
SDGR,548558000.0
SEEL,-33510000.0
SERA,70158000.0
SGHT,120215000.0
SGMO,82887000.0
SGMT,91065000.0
SGRY,1987200000.0
SHC,443734000.0
SHCR,430136000.0
SHCRW,430136000.0
SHLT,73528000.0
SHPH,4055771.0
SIBN,169375000.0
SIGA,196858907.0
SILK,151151000.0
SINT,8772000.0
SISI,32561898.0
SKIN,59390000.0
SKYE,-2131818.0
SLDB,126481000.0
SLGL,38644000.0
SLN,17050000.0
SLNO,157507000.0
SLRN,656337000.0
SLRX,5287282.0
SLS,-7976000.0
SLXN,-15476000.0
SLXNW,-15476000.0
SMFL,-2361984.0
SMLR,71795000.0
SMMT,77692000.0
SMTI,44832277.0
SNCRL,
SNDL,1212069000.0
SNDX,554196000.0
SNGX,2522422.0
SNOA,6137000.0
SNPX,25584198.0
SNSE,64895000.0
SNTI,66913000.0
SNY,74040000000.0
SONN,-225980.0
SOPH,151442000.0
SPRB,76509000.0
SPRC,7614000.0
SPRO,106894000.0
SPRY,230760000.0
SRDX,119910000.0
SRPT,859337000.0
SRRK,225218000.0
SRTS,48842000.0
SRZN,37935000.0
SSKN,12688000.0
STAA,385954000.0
STIM,34190000.0
STOK,159565000.0
STRO,149649000.0
STRR,65299000.0
STRRP,65299000.0
STSS,7934286.0
STTK,144705000.0
SUPN,921516000.0
SVRA,140372000.0
SWTX,626219000.0
SXTC,13930446.0
SXTP,4870134.0
SXTPW,4870134.0
SYBX,42655000.0
SYRE,184016000.0
SYRS,16662000.0
TALK,118646000.0
TALKW,118646000.0
TARA,68321000.0
TARS,196988000.0
TBPH,212995000.0
TCBP,2685230.0
TCBPW,2685230.0
TCMD,193642000.0
TCRT,6307000.0
TCRX,150867000.0
TECH,2068850000.0
TECX,-45654000.0
TELA,18881000.0
TELO,3438204.0
TENX,8098107.0
TERN,255367000.0
TFFP,9567034.0
TGTX,160502000.0
THAR,9131347.0
THRD,269085000.0
THTX,-20870000.0
TIL,225829000.0
TIVC,3580000.0
TKNO,90036000.0
TLPH,14105000.0
TLRY,3442906000.0
TLSA,5536000.0
TLSI,-25938000.0
TLSIW,-25938000.0
TMCI,137938000.0
TMDX,137202000.0
TNDM,313632000.0
TNFA,12773643.0
TNGX,253108000.0
TNON,6252000.0
TNXP,105525000.0
TNYA,139424000.0
TOI,57025000.0
TOIIW,57025000.0
TPST,26768000.0
TRAW,10672000.0
TRDA,242360000.0
TRIB,-23949000.0
TRML,205042000.0
TRUP,303722000.0
TRVI,82547000.0
TRVN,
TSBX,98667000.0
TSHA,74937000.0
TSVT,255300000.0
TTNP,6642000.0
TTOO,-28036000.0
TVGN,-695797.0
TVGNW,-695797.0
TVTX,200810000.0
TWST,623432000.0
TXMD,
TYRA,204262000.0
UBX,28398000.0
UFPT,286091000.0
UNCY,-3809000.0
UPC,39532701.0
UPXI,28341770.0
URGN,-65212000.0
UTHR,5984800000.0
UTMD,128313000.0
VALN,128247000.0
VANI,20761000.0
VCEL,225952000.0
VCNX,-2311000.0
VCYT,1044102000.0
VERA,101685000.0
VERO,8093000.0
VERU,19678161.0
VERV,599502000.0
VIGL,116252000.0
VINC,11222000.0
VIR,1590236000.0
VIRI,3806894.0
VIRX,18319000.0
VKTX,348419000.0
VMD,113895000.0
VNDA,544910000.0
VOR,150724000.0
VRAX,5366757.0
VRCA,19763000.0
VRDN,442022000.0
VRNA,249283000.0
VRPX,1934321.0
VRTX,17580400000.0
VSTM,57374000.0
VTGN,114286000.0
VTRS,20467400000.0
VTVT,-24680000.0
VTYX,243923000.0
VVOS,411000.0
VXRT,57805000.0
VYGR,236320000.0
VYNE,88735000.0
WENA,1179175.0
WENAW,1179175.0
WINT,3391000.0
WVE,39630000.0
XAIR,25048000.0
XBIO,9795641.0
XBIT,218846000.0
XCUR,3031000.0
XENE,927921000.0
XERS,-6782000.0
XFOR,51099000.0
XGN,22694000.0
XLO,
XNCR,668796000.0
XOMA,88721000.0
XOMAO,88721000.0
XOMAP,88721000.0
XRAY,3293000000.0
XRTX,4642026.0
XTLB,2220000.0
XXII,-8410000.0
XYLO,23576000.0
YMAB,100985000.0
ZIMV,409493000.0
ZJYL,23979105.0
ZLAB,796118000.0
ZNTL,437284000.0
ZURA,59330000.0
ZURAW,59330000.0
ZVRA,75120000.0
ZVSA,11074598.0
ZYME,464806000.0
ZYXI,46129000.0
AEON,-153044000.0
AIM,
AMS,22624000.0
APT,61568000.0
ARMP,-32065000.0
ATNM,36379000.0
AZTR,2913146.0
CANF,6243000.0
CATX,75179000.0
CCEL,-11031232.0
CHRO,-6444552.0
CLDI,-8235000.0
CPHI,7454621.0
CVM,13214890.0
CYBN,291927000.0
ELMD,37667000.0
IBIO,15381000.0
IGC,7321000.0
INFU,52302000.0
LCTX,63419000.0
MAIA,477511.0
MLSS,8012512.0
MTNB,19246000.0
MYO,8989350.0
NBY,3314000.0
NHC,908752000.0
NNVC,14865630.0
NRXS,-1403241.0
OGEN,13009302.0
OSTX,-24016215.0
PHGE,3081000.0
PLX,33569000.0
PTN,134073.0
RVP,99287659.0
SCPX,31396532.0
SER,-37778161.0
SSY,17417000.0
STXS,21920000.0
TOVX,39697000.0
VNRX,-7802255.0
VTAK,21192000.0
XTNT,51349000.0
