Symbol,Company,지배주주지분(천원),매출액(직전4분기)(천원),지배주주순이익(직전4분기)(천원),총자본(천원),매출액(직전4분기)(천원),당기순이익(직전4분기)(천원)
A006260,LS,"4,689,484,000","24,327,313,000","397,594,000","4,363,059,000","486,980,000","297,158,000"
A302440,SK바이오사이언스,"1,691,536,079","371,179,406","22,867,580","1,694,425,449","371,179,406","25,056,562"
A011780,금호석유,"5,853,455,104","6,268,761,116","412,769,399","3,258,297,135","4,146,531,566","281,373,428"
A036570,엔씨소프트,"3,261,863,678","1,698,973,678","155,618,231","3,288,910,743","1,544,402,084","156,738,538"
A071050,한국금융지주,"8,672,312,003","3,446,131,283","746,700,586","6,740,847,026","48,488,662","939,682,285"
A016360,삼성증권,"6,692,149,357","1,670,566,945","547,926,925","6,380,113,546","1,512,023,113","481,965,423"
A068760,셀트리온제약,,,,"374,605,023","395,752,465","16,464,597"
A128940,한미약품,"1,008,753,938","1,533,383,315","158,085,604","661,338,509","1,121,267,300","115,189,527"
A348370,엔켐,"177,322,769","357,371,042","-346,145,521","193,924,194","63,679,874","-322,343,052"
A010620,HD현대미포,"1,974,430,124","4,130,398,033","-136,563,393","1,956,191,472","4,091,378,648","-139,624,850"
A036460,한국가스공사,"10,140,806,939","39,436,700,997","-488,138,065","7,366,844,991","37,639,263,473","-709,473,020"
A004020,현대제철,"19,080,452,338","25,473,492,387","264,239,036","18,863,057,917","20,825,072,767","207,678,227"
A377300,카카오페이,"1,880,147,737","650,245,779","953,000","2,100,731,902","574,670,262","67,133,829"
A272210,한화시스템,"2,151,948,182","2,557,944,848","214,658,070","2,235,534,358","2,553,372,067","3,304,078"
A000720,현대건설,"8,274,298,000","32,165,534,000","560,511,000","6,830,346,000","16,519,725,000","424,219,000"
A271560,오리온,"2,956,265,588","2,996,941,967","394,391,649","1,244,522,474","1,093,449,361","352,277,220"
A039490,키움증권,"5,014,510,998","1,124,027,911","390,254,596","4,424,375,339","896,730,863","313,007,797"
A001040,CJ,"5,596,851,182","42,011,084,853","254,625,049","2,816,712,094","214,422,072","93,344,868"
A000150,두산,"1,615,381,054","19,241,343,789","-344,617,281","3,004,571,194","996,851,041","-104,510,304"
A058470,리노공업,,,,"532,189,823","261,334,098","115,796,294"
A298040,효성중공업,"1,077,344,976","4,438,609,597","153,121,080","1,157,869,652","3,152,641,189","103,805,119"
A214150,클래시스,"297,235,162","191,528,427","81,539,944","296,977,315","191,403,690","81,612,443"
A007660,이수페타시스,"276,832,123","702,966,492","49,537,817","293,239,311","605,522,139","36,899,057"
A001450,현대해상,"5,657,035,817","13,369,442,016","767,521,207","5,814,737,214","13,371,101,693","967,674,440"
A277810,레인보우로보틱스,"131,330,012","15,248,345","-11,325,214","132,350,279","16,329,833","-10,280,236"
A403870,HPSP,,,,"293,053,131","158,081,805","70,661,493"
