symbol,company,outstandingshares,treasuryshares,shares,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni,eps,bps,sps
A058470,리노공업,15242370,63250,15179120,0,0,0,532189823,261334098,115796294,7628.656602,35060.65062,17216.68305
A298040,효성중공업,9324548,12807,9311741,1077344976,4438609597,153121080,1157869652,3152641189,103805119,11147.767,124345.1307,338566.2455
A214150,클래시스,63999519,0,63999519,297235162,191528427,81539944,296977315,191403690,81612443,1275.204006,4640.305422,2990.705133
A007660,이수페타시스,63246419,0,63246419,276832123,702966492,49537817,293239311,605522139,36899057,583.4173315,4636.457141,9574.014602
A001450,현대해상,89400000,10985500,78414500,5657035817,13369442016,767521207,5814737214,13371101693,967674440,12340.50386,74153.85183,170518.2293
A277810,레인보우로보틱스,19399858,0,19399858,131330012,15248345,-11325214,132350279,16329833,-10280236,-529.9129509,6822.229266,841.7501303
A403870,HPSP,82934144,650284,82283860,0,0,0,293053131,158081805,70661493,858.7527736,3561.489835,1921.17634
A035250,강원랜드,213940500,11201502,202738998,3579561289,1398822303,332197427,3572469464,1397732400,328323821,1619.440878,17621.02752,6894.245378
A361610,SK아이이테크놀로지,71297592,3652,71293940,2396531116,552866470,13783059,1985154137,281568065,-46124384,-646.9607936,27844.64061,3949.396891
A263750,펄어비스,64247855,2828445,61419410,744895825,333167721,18613624,785918626,258204819,58825976,957.7750096,12795.93252,4203.96124
A002380,KCC,8886471,1532300,7354171,5605468884,6311871577,676710353,5881861011,3062159101,1060739272,144236.4166,799799.3263,416383.995
A175330,JB금융지주,195083198,3166640,191916558,5038217000,3506004000,595831000,2210424000,13548000,207109000,1079.161705,11517.63049,70.59317935
A141080,리가켐바이오,36567348,140000,36427348,627738115,57543441,-46543034,630374510,57543441,-48187044,-1322.826026,17304.97949,1579.676923
A145020,휴젤,12604033,1631251,10972782,720610705,329625776,97505883,563398062,244791717,66604883,6070.008773,51345.05197,22308.99302
A052690,한전기술,38220000,176495,38043505,533096538,564266505,32446837,533095728,564266505,32446027,852.866396,14012.79214,14832.13771
A138930,BNK금융지주,322088438,1651711,320436727,10384935136,6850803418,632548986,5373484811,992259,260832733,813.9913781,16769.25383,3.096583245
