symbol,company,지배주주지분,sales_ltm_c,지배주주순이익,equity,sales_ltm_s,ni
A000150,두산,1615381054 ,19241343789 ,-344617281 ,3004571194 ,996851041 ,-104510304 
A058470,리노공업,0 ,0 ,0 ,532189823 ,261334098 ,115796294 
A298040,효성중공업,1077344976 ,4438609597 ,153121080 ,1157869652 ,3152641189 ,103805119 
A214150,클래시스,297235162 ,191528427 ,81539944 ,296977315 ,191403690 ,81612443 
A007660,이수페타시스,276832123 ,702966492 ,49537817 ,293239311 ,605522139 ,36899057 
A001450,현대해상,5657035817 ,13369442016 ,767521207 ,5814737214 ,13371101693 ,967674440 
A277810,레인보우로보틱스,131330012 ,15248345 ,-11325214 ,132350279 ,16329833 ,-10280236 
A403870,HPSP,0 ,0 ,0 ,293053131 ,158081805 ,70661493 
A035250,강원랜드,3579561289 ,1398822303 ,332197427 ,3572469464 ,1397732400 ,328323821 
A361610,SK아이이테크놀로지,2396531116 ,552866470 ,13783059 ,1985154137 ,281568065 ,-46124384 
A263750,펄어비스,744895825 ,333167721 ,18613624 ,785918626 ,258204819 ,58825976 
A002380,KCC,5605468884 ,6311871577 ,676710353 ,5881861011 ,3062159101 ,1060739272 
A175330,JB금융지주,5038217000 ,3506004000 ,595831000 ,2210424000 ,13548000 ,207109000 
A141080,리가켐바이오,627738115 ,57543441 ,-46543034 ,630374510 ,57543441 ,-48187044 
A145020,휴젤,720610705 ,329625776 ,97505883 ,563398062 ,244791717 ,66604883 
A052690,한전기술,533096538 ,564266505 ,32446837 ,533095728 ,564266505 ,32446027 
A138930,BNK금융지주,10384935136 ,6850803418 ,632548986 ,5373484811 ,992259 ,260832733 
A004370,농심,2484782926 ,3422708138 ,170775014 ,2183763573 ,2649924433 ,114860282 
A088350,한화생명,12290356812 ,10032616442 ,509676052 ,10659381064 ,4685347617 ,320881007 
A001440,대한전선,1423998404 ,2928597593 ,82283937 ,1417358646 ,2678021789 ,73772515 
A257720,실리콘투,161479247 ,434776171 ,57222008 ,144380714 ,400483753 ,46817304 
A004990,롯데지주,6982521128 ,15448980451 ,-89710583 ,4902980732 ,306720091 ,-68352989 
A002790,아모레G,3330787150 ,4018970343 ,107785664 ,2114943384 ,50125696 ,39684023 
A039030,이오테크닉스,562328120 ,305340254 ,33650707 ,531361887 ,270435594 ,65438481 
A081660,휠라홀딩스,1969266226 ,4080650679 ,52859564 ,506153059 ,52870123 ,21435600 
A383220,F&F,1318736382 ,1988119910 ,402143139 ,1272550041 ,1682621050 ,389387599 
A000990,DB하이텍,1760473604 ,1140143654 ,235775198 ,1744921893 ,1022004219 ,221893970 
A018880,한온시스템,2417445681 ,9623611338 ,15387068 ,2563011412 ,3535916443 ,16265783 
A008930,한미사이언스,807932241 ,1276795731 ,120139738 ,507752074 ,191432043 ,36721540 
A007070,GS리테일,4040219221 ,11749313332 ,36706031 ,4084951524 ,11010335397 ,-6809724 
A012750,에스원,1547967375 ,2651002618 ,182063485 ,1504791542 ,2611985165 ,177074939 
A357780,솔브레인,925659766 ,811747500 ,130938739 ,880472494 ,762916622 ,135149356 
A000880,한화,10200720000 ,51323194000 ,-146265000 ,3440672404 ,7241476257 ,175110097 
A112610,씨에스윈드,860621738 ,1906390553 ,-26614089 ,865545641 ,335911028 ,17582766 
A012510,더존비즈온,498262867 ,366577100 ,48079297 ,421771067 ,337383680 ,41609527 
A000120,CJ대한통운,3440541231 ,11881499854 ,229444817 ,3269188755 ,8192021622 ,222259291 
A035900,JYP Ent.,407355370 ,584954848 ,95677735 ,354871343 ,497050502 ,118918547 
A030000,제일기획,1238751433 ,4214683895 ,190274931 ,513995485 ,1259667117 ,27637413 
A014680,한솔케미칼,854767398 ,772275124 ,109001749 ,754700324 ,571264371 ,105088218 
A008770,호텔신라,606887587 ,3797152770 ,31159312 ,534529163 ,2347632265 ,25979092 
A020150,롯데에너지머티리얼즈,1441363652 ,887072431 ,-3172195 ,621400894 ,353773718 ,41352192 
A028670,팬오션,4960742000 ,4340058000 ,192309000 ,4898438000 ,3735384000 ,173017000 
A089030,테크윙,203569521 ,145321216 ,-11334035 ,204318906 ,121064664 ,-12624979 
A204320,HL만도,2391923859 ,8503687702 ,235928505 ,1910457091 ,2743109987 ,61445875 
A005290,동진쎄미켐,849744033 ,1297883897 ,123919185 ,736351502 ,964974497 ,137286567 
A009420,한올바이오파마,178204797 ,140199172 ,4438848 ,178878299 ,140199172 ,5452486 
A026960,동서,1583912760 ,485816741 ,157887602 ,1583912053 ,447397679 ,157887602 
A078600,대주전자재료,161556744 ,193788073 ,7568640 ,157942330 ,141160458 ,8605025 
A005850,에스엘,2023115508 ,4873850799 ,361791426 ,1685581628 ,2650471005 ,213632358 
A282330,BGF리테일,1026472240 ,8299012515 ,191541183 ,986846728 ,8243328083 ,179392339 
A240810,원익IPS,844214239 ,653813192 ,-29258128 ,841451112 ,653778629 ,-29101251 
A017800,현대엘리베이,1155080920 ,2712056015 ,101636080 ,1156850771 ,1911904666 ,40213021 
A237690,에스티팜,390042121 ,286068551 ,22026930 ,397462440 ,251860700 ,24658179 
A023530,롯데쇼핑,9402590901 ,14507579307 ,196038806 ,9356792640 ,8641449796 ,264517807 
A007310,오뚜기,1956242221 ,3481340125 ,167621760 ,1641971485 ,2898143558 ,127205692 
A041510,에스엠,690171729 ,977223570 ,78007654 ,508524860 ,627469415 ,62750140 
A103140,풍산,1983041614 ,4043904550 ,139100914 ,1983041614 ,3044476537 ,138966012 
A047040,대우건설,4096407799 ,11527020575 ,503012331 ,3170220477 ,10410321887 ,206277465 
A051600,한전KPS,1225173760 ,1525587539 ,160221304 ,1217937312 ,1504671438 ,157833023 
A035760,CJ ENM,3255061927 ,4573517853 ,-262333949 ,3297584237 ,2653238903 ,58021068 
A192820,코스맥스,387621729 ,1901035770 ,69671924 ,338739305 ,1129550081 ,24470917 
A087010,펩트론,0 ,0 ,0 ,32096367 ,2655759 ,-15940895 
A111770,영원무역,3294134033 ,3473537253 ,466382609 ,1762212190 ,1903352650 ,254265367 
A178320,서진시스템,543813664 ,915353406 ,1436160 ,410280865 ,424587509 ,25462828 
